analysis_date_time,dirPath,solidity[U],arc_solidity[u],separated_delay[us],faced_delay[us],regament_max_delay[us],max_regament_length[pix],main_average_velocity[pix/us],main_average_velocity[m/s],main_velocity_stddiv[pix/us],main_angle[degrees],satellite_average_velocity[pix/us],satellite_average_velocity[m/s],satellite_velocity_stddiv[pix/us],satellite_angle[degrees],main-satellite_angle_diff[degrees],main_linearity_error[pix],satellite_linearity_error[pix],most_freq_Y[pix],CODE_VER,main_velocity_is_too_fast,main_velocity_is_too_slow,nozzle_is_needed_to_clean,suspicious_visco-elasticity,angle-diff_is_too_large,THRESH_VALUES_VER,num_contours_at_first,abnormal_ejaction,condition,camera_resolution,API_VER,max_regament_delay[us],CONTOUR_CODE_VER,AUTO_TRACKING_CODE_VER,flag_droplet_faced,flag_droplet_separated,camera_resolution[um/pix],file_name,anormaly_ejections_at_first_image,nozzle_needs_to_be_clean,exotic-droplet_exists,layered_main_0_ave[pix/us],layered_main_0_stdiv[pix/us],layered_sat_0_ave[pix/us],layered_main_1_ave[pix/us],layered_main_1_stdiv[pix/us],layered_sat_1_ave[pix/us],layered_main_2_ave[pix/us],layered_main_2_stdiv[pix/us],layered_sat_2_ave[pix/us],layered_main_3_ave[pix/us],layered_main_3_stdiv[pix/us],layered_sat_3_ave[pix/us],layered_main_4_ave[pix/us],layered_main_4_stdiv[pix/us],layered_sat_4_ave[pix/us],RESERVED0,RESERVED1,RESERVED2,RESERVED3,RESERVED4,ave_num_contours_before_separation
2.02E+13,test1,1.015369837,0.987753454,274.0,176.3,275.0018182,370.7,2.294791611,7.343333155,0.8287733979999999,2.561950781,1.299238792,4.1575641339999985,0.5576244220000001,1.780652741,0.78129804,1.3963031540000002,9.756434776,10.0,0.1.0,False,False,False,False,False,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,test1,1.015369837,0.987753454,274.0,176.3,275.0018182,370.7,2.294791611,7.343333155,0.8287733979999999,2.561950781,1.299238792,4.1575641339999985,0.5576244220000001,1.780652741,0.78129804,1.3963031540000002,9.756434776,10.0,0.1.0,False,False,False,False,False,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,test3,1.013787444,0.983693564,278.1,163.1,243.0869186,296.7,1.737819232,5.561021544,0.8713917859999999,0.897683894,1.348160725,4.314114319,0.58167013,0.624882102,0.272801792,1.7252162640000002,5.194612888,10.0,0.1.0,False,False,False,False,False,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,test4,1.023794505,0.988818757,387.0,157.2,574.0,387.0,2.483933016,7.948585651,2.32731761,0.002538534,2.171281646,6.948101266,0.330617174,0.0,0.002538534,1.51856412,0.0,11.0,0.1.0,False,False,True,True,False,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,test4,1.023794505,0.988818757,387.0,157.2,574.0,387.0,2.483933016,7.948585651,2.32731761,0.002538534,2.171281646,6.948101266,0.330617174,0.0,0.002538534,1.51856412,0.0,11.0,0.1.0,False,False,True,True,False,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.02E+13,test4,1.023794505,0.988818757,387.0,157.2,574.0,387.0,2.483933016,7.948585651,2.32731761,0.002538534,2.171281646,6.948101266,0.330617174,0.0,0.002538534,1.51856412,0.0,11.0,0.1.0,False,False,True,True,False,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15_18:26:44,test4,1.023794505,0.988818757,387.0,157.2,574.0,387.0,2.483933016,7.948585651,2.32731761,0.002538534,2.171281646,6.948101266,0.330617174,0.0,0.002538534,1.51856412,0.0,11.0,0.1.0,False,False,True,True,False,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15_18:36:12,test2,1.054794521,0.959058529,367.3,167.2,559.0807187,382.8,2.548874552,8.156398568,2.434747516,2.601387068,1.608640377,5.147649208,0.886178358,0.078748899,2.522638169,1.682414199,4.396917868,48.0,0.1.0,False,False,True,True,True,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15_18:36:22,test3,1.013787444,0.983693564,278.1,163.1,243.0869186,296.7,1.737819232,5.561021544,0.8713917859999999,0.897683894,1.348160725,4.314114319,0.58167013,0.624882102,0.272801792,1.7252162640000002,5.194612888,10.0,0.1.0,False,False,False,False,False,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15_18:36:27,test4,1.023794505,0.988818757,387.0,157.2,574.0,387.0,2.483933016,7.948585651,2.32731761,0.002538534,2.171281646,6.948101266,0.330617174,0.0,0.002538534,1.51856412,0.0,11.0,0.1.0,False,False,True,True,False,0.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
